Family,DistRD,Cotton,Maize,Sorg,Millet,Bull,Cattle,Goats
12,80,1.5,1,3,0.25,2,0,1
54,8,6,4,0,1,6,32,5
11,13,0.5,1,0,0,0,0,0
21,13,2,2.5,1,0,1,0,5
61,30,3,5,0,0,4,21,0
20,70,0,2,3,0,2,0,3
29,35,1.5,2,0,0,0,0,0
29,35,2,3,2,0,0,0,0
57,9,5,5,0,0,4,5,2
23,33,2,2,1,0,2,1,7
13,9,0.5,2,2,0,0,0,0
15,9,2,2,2,0,0,0,0
27,3,1.5,0,2,1,0,0,1
28,5,2,0.5,2,2,2,0,5
52,5,7,1,7,0,4,11,3
12,10,2,2.5,3,0,0,0,0
25,30,1,1,4,0,2,0,5
5,3,1,0,1,0.5,0,0,3
45,30,4.5,1,1,0,6,13,20
6,7,1,1,1,1,2,0,5
17,8,1.5,0.5,1.5,0.25,0,0,2
22,6,3,2,3,1,3,0,2
43,40,7,3,3,0.5,6,2,3
66,36,0,0.5,5,5,0,0,0
145,36,9.5,7,13,5.5,8,9,15
15,3,1,0,1.5,0.5,1,0,1
26,5,2,1.5,2,2,1,0,0
31,5,1.5,1,3,2,2,0,0
37,2,3,2,3,5,3,0,5
81,2,8,4,4,12,7,8,13
14,10,0,0.5,3,1,0,0,0
20,7,2,1,4,3,2,0,5
26,7,2,1,2,2,2,0,2
53,7,0,1,11,2,8,104,10
12,10,0.5,1,3,1,0,0,0
18,35,4,3,3,3,4,0,0
11,29,1,0.5,3,2,2,0,2
50,29,5,3,5,4,4,8,4
7,9,0,1,1,0,0,0,0
26,9,2,1,3,0,0,0,0
19,33,1,1.5,0,4,2,0,0
43,33,3,3,4,7,4,3,0
18,12,3,0,1,1,2,1,1
64,20,3,5,2,2,4,0,6
61,25,9,7,3,8,4,17,0
18,3,0.5,0.5,2,2,0,0,4
11,2,0.5,0,1.5,1.5,1,1,0
30,3,4,2,4,0,4,2,0
16,1.5,2,0.5,2,2,2,2,0
46,1,0.75,1,3,2,0,0,2
18,2,1.5,0.5,2,2,2,0,2
81,3,12,1.5,10,8,11,14,15
15,0,1.5,1.5,2.5,0,1,0,0
26,11,3.5,2,4,0,2,2,2
10,11,0,0,1.5,0,0,0,0
40,12,5,3,6,1,8,17,10
82,4,11,7,5,0.5,8,5,0
40,5.5,6,4,2.5,1,3,0,2
29,8,3,2,4,2,0,0,2
23,5,5,4,3,1,1,0,0
53,4,0,3,0,3,6,0,0
57,3.5,9,8,0,0,10,23,0
23,4,2,2,0.5,4,2,0,0
9,31,2,2,0,2,1,0,0
22,35,3,2,3,0,5,6,1
25,35,3,1,2.5,0,4,8,10
20,0,1.5,1,3,0,1,6,0
27,41,1.1,0.25,1.5,1.5,0,3,1
18,500,2,1,1.5,0.5,1,0,0
30,19,2,2,4,1,2,0,5
77,18,8,4,6,4,6,8,6
21,500,5,1,3,4,1,0,5
13,100,0.5,0.5,0,1,0,0,4
24,100,2,3,0,0.5,3,14,10
29,90,2,1.5,1.5,1.5,2,0,2
57,90,10,7,0,1.5,7,8,7
